Timestamp,lat,long,speed,cadence,x,y
2021-04-05 23:23:05+00:00,-43.52258672006428,172.57530983537436,1.959,0.0,627308.2352212035,5179944.810948757
2021-04-05 23:23:07+00:00,-43.52259585633874,172.57530715316534,1.959,0.0,627307.9992397798,5179943.80037276
2021-04-05 23:23:11+00:00,-43.522592168301344,172.5753099191934,1.959,0.0,627308.2305356894,5179944.205735351
2021-04-05 23:23:14+00:00,-43.52260901592672,172.57530212402344,1.959,0.0,627307.5651268957,5179942.346556706
2021-04-05 23:23:18+00:00,-43.522636257112026,172.57528846152127,1.791,117.0,627306.4036847804,5179939.342041797
2021-04-05 23:23:32+00:00,-43.52265662513673,172.5752697698772,1.474,119.0,627304.85026611,5179937.108561931
2021-04-05 23:23:34+00:00,-43.52265729568899,172.57526482455432,1.456,0.0,627304.4491959437,5179937.041658685
2021-04-05 23:23:36+00:00,-43.52265888825059,172.5752655789256,1.456,0.0,627304.5068114144,5179936.863633091
2021-04-05 23:23:38+00:00,-43.522656289860606,172.57526868022978,1.456,0.0,627304.7629106491,5179937.147465636
2021-04-05 23:23:59+00:00,-43.52272778749466,172.57524604909122,1.456,0.0,627302.7835819643,5179929.24152348
2021-04-05 23:24:02+00:00,-43.52272636257112,172.575258705765,1.446,117.0,627303.8094359186,5179929.380405777
2021-04-05 23:24:04+00:00,-43.52272150106728,172.57526759058237,1.446,117.0,627304.5376930546,5179929.906729801
2021-04-05 23:24:08+00:00,-43.52270440198481,172.57529944181442,1.26,92.0,627307.1477352381,5179931.757017697
2021-04-05 23:24:12+00:00,-43.52264145389199,172.5753281917423,1.194,0.0,627309.6035815185,5179938.704075373
2021-04-05 23:24:22+00:00,-43.52245629765093,172.57529315538704,3.396,180.0,627307.1615320249,5179959.321284545
2021-04-05 23:24:26+00:00,-43.522438360378146,172.57530421949923,1.745,0.0,627308.093416834,5179961.29647704
2021-04-05 23:24:52+00:00,-43.522624438628554,172.57529550231993,1.213,117.0,627306.9975500746,5179940.643835019
2021-04-05 23:24:59+00:00,-43.52264882996678,172.57531796582043,1.054,92.0,627308.7616517165,5179937.900534434
2021-04-05 23:25:10+00:00,-43.52254162542522,172.57534495554864,2.202,82.0,627311.1683373316,5179949.765438587
2021-04-05 23:25:34+00:00,-43.52253642864525,172.57529558613896,0.933,0.0,627307.1894358983,5179950.418158633
