Reaction Date,Reaction Type,Parent Type,Parent ID
"Dec 25, 2019, 8:00:36 AM",Kudos,Activity,2954726876
"Dec 25, 2019, 8:01:28 AM",Kudos,Activity,2954722628
"Dec 25, 2019, 8:01:55 AM",Kudos,Activity,2954790387
"Dec 26, 2019, 4:16:27 AM",Kudos,Activity,2956554428
"Dec 26, 2019, 4:33:44 AM",Kudos,Activity,2956577796
"Dec 26, 2019, 4:34:04 AM",Kudos,Activity,2956312703
"Dec 27, 2019, 6:22:27 AM",Kudos,Activity,2959034996
"Dec 28, 2019, 1:04:12 AM",Kudos,Activity,2960881875
"Dec 28, 2019, 7:01:39 AM",Kudos,Activity,2961461250
"Dec 28, 2019, 7:01:39 AM",Kudos,Activity,2961478100
"Dec 29, 2019, 6:17:18 AM",Kudos,Activity,2963607560
"Dec 29, 2019, 6:17:52 AM",Kudos,Activity,2963876726
"Dec 30, 2019, 5:30:01 AM",Kudos,Activity,2966584022
"Dec 30, 2019, 5:30:30 AM",Kudos,Activity,2964502627
"Dec 30, 2019, 8:57:35 PM",Kudos,Activity,2968700227
"Dec 30, 2019, 8:59:11 PM",Kudos,Activity,2966709831
"Dec 31, 2019, 4:39:47 AM",Kudos,Activity,2968993757
"Dec 31, 2019, 4:39:48 AM",Kudos,Activity,2969010210
"Dec 31, 2019, 8:29:44 PM",Kudos,Activity,2971170471
"Jan 2, 2020, 6:57:23 AM",Kudos,Activity,2974569981
"Jan 2, 2020, 6:57:29 AM",Kudos,Activity,2974557637
"Jan 2, 2020, 6:02:43 PM",Kudos,Activity,2974797940
"Jan 3, 2020, 4:26:06 AM",Kudos,Activity,2977284738
"Jan 4, 2020, 5:32:57 AM",Kudos,Activity,2977343871
"Jan 4, 2020, 7:06:01 AM",Kudos,Activity,2979816468
"Jan 5, 2020, 6:01:20 PM",Kudos,Activity,2983089772
"Jan 7, 2020, 6:04:56 AM",Kudos,Activity,2989011867
"Jan 8, 2020, 5:51:25 PM",Kudos,Activity,2992062828
"Jan 13, 2020, 6:53:05 AM",Kudos,Activity,3006867067
"Jan 14, 2020, 5:41:05 AM",Kudos,Activity,3009487792
"Jan 15, 2020, 2:41:20 AM",Kudos,Activity,3009762939
"Jan 15, 2020, 7:00:53 AM",Kudos,Activity,3012430857
"Jan 17, 2020, 6:23:11 AM",Kudos,Activity,3018158547
"Jan 17, 2020, 6:23:20 AM",Kudos,Activity,3018172235
"Jan 17, 2020, 6:23:33 AM",Kudos,Activity,3017567487
"Jan 19, 2020, 7:25:00 AM",Kudos,Activity,3023647684
"Jan 21, 2020, 1:24:15 AM",Kudos,Activity,3026876531
"Jan 22, 2020, 5:38:06 AM",Kudos,Activity,3029811650
"Jan 22, 2020, 5:38:08 AM",Kudos,Activity,3031963780
"Jan 23, 2020, 6:42:03 AM",Kudos,Activity,3034394149
"Jan 23, 2020, 6:42:26 AM",Kudos,Activity,3032617285
"Jan 23, 2020, 6:42:51 AM",Kudos,Activity,3032943328
"Jan 25, 2020, 6:48:17 AM",Kudos,Activity,3040402723
"Jan 25, 2020, 6:48:18 AM",Kudos,Activity,3040381632
"Jan 25, 2020, 6:48:29 AM",Kudos,Activity,3040369536
"Jan 26, 2020, 5:16:59 AM",Kudos,Activity,3043725767
"Jan 29, 2020, 4:06:20 AM",Kudos,Activity,3052304224
"Jan 29, 2020, 4:06:36 AM",Kudos,Activity,3052594329
"Jan 29, 2020, 4:06:42 AM",Kudos,Activity,3052602538
"Jan 29, 2020, 4:06:44 AM",Kudos,Activity,3052602646
"Jan 29, 2020, 4:07:00 AM",Kudos,Activity,3051920774
"Jan 29, 2020, 4:07:03 AM",Kudos,Activity,3051920884
"Jan 31, 2020, 2:00:10 AM",Kudos,Activity,3057274696
"Jan 31, 2020, 2:00:18 AM",Kudos,Activity,3055850298
"Jan 31, 2020, 2:00:26 AM",Kudos,Activity,3055849947
"Jan 31, 2020, 6:02:15 AM",Kudos,Activity,3058114245
"Jan 31, 2020, 6:02:19 AM",Kudos,Activity,3058319543
"Feb 1, 2020, 3:59:15 AM",Kudos,Activity,3060683405
"Feb 1, 2020, 3:59:33 AM",Kudos,Activity,3060732926
"Feb 1, 2020, 4:00:37 AM",Kudos,Activity,3058363083
"Feb 1, 2020, 6:51:08 PM",Kudos,Activity,3060700721
"Feb 4, 2020, 5:47:28 PM",Kudos,Activity,3070011890
"Feb 4, 2020, 10:02:44 PM",Kudos,Activity,3072180979
"Feb 4, 2020, 10:02:55 PM",Kudos,Activity,3063974541
"Feb 4, 2020, 10:02:56 PM",Kudos,Activity,3072179994
"Feb 5, 2020, 7:22:47 AM",Kudos,Activity,3072963125
"Feb 8, 2020, 5:35:26 AM",Kudos,Activity,3081075612
