Following Athlete ID,Follow Status,Created At
28500937,Accepted,"Sep 25, 2022, 6:36:56 AM"
36628860,Accepted,"Sep 25, 2022, 6:37:13 AM"
108507674,Accepted,"Sep 25, 2022, 10:51:27 PM"
93699116,Accepted,"Sep 27, 2022, 8:04:15 PM"
46885387,Accepted,"Sep 29, 2022, 5:26:00 AM"
23171812,Accepted,"Sep 29, 2022, 6:24:09 AM"
97875639,Accepted,"Sep 29, 2022, 6:24:15 AM"
30230231,Accepted,"Sep 29, 2022, 7:55:46 AM"
43150185,Accepted,"Sep 29, 2022, 7:55:23 PM"
97876334,Accepted,"Sep 29, 2022, 8:35:20 PM"
3688660,Accepted,"Oct 2, 2022, 6:55:25 AM"
81108146,Accepted,"Oct 11, 2022, 8:42:41 AM"
11211943,Accepted,"Oct 16, 2022, 7:35:07 PM"
33362662,Accepted,"Oct 31, 2022, 6:13:14 PM"
23542783,Accepted,"Nov 7, 2022, 9:34:24 PM"
32976158,Accepted,"Nov 9, 2022, 9:04:15 PM"
43380828,Accepted,"Nov 11, 2022, 5:30:34 PM"
35333975,Accepted,"Nov 26, 2022, 10:42:48 PM"
18533133,Accepted,"Nov 27, 2022, 7:09:59 PM"
65450460,Accepted,"Nov 29, 2022, 9:54:47 PM"
4274430,Accepted,"Nov 30, 2022, 9:53:32 PM"
59987886,Accepted,"Dec 8, 2022, 9:08:00 PM"
3040074,Accepted,"Dec 8, 2022, 9:08:11 PM"
83675451,Accepted,"Dec 10, 2022, 8:15:43 AM"
20941035,Accepted,"Dec 15, 2022, 10:39:36 AM"
8392597,Accepted,"Feb 26, 2023, 11:26:14 PM"
75015922,Accepted,"Mar 1, 2023, 11:21:39 PM"
22463973,Accepted,"Mar 5, 2023, 3:43:07 AM"
25814266,Accepted,"Mar 8, 2023, 7:35:16 PM"
4250804,Accepted,"Mar 15, 2023, 6:15:44 PM"
52923104,Accepted,"Mar 21, 2023, 4:03:09 AM"
